blockedShots,giveaways,playerName,takeaways,hits
18,78,Phil Kessel,33,12
2,1,Kyle Rau,1,11
9,2,Ryan Lindgren,0,11
35,7,Carl Gunnarsson,6,11
3,1,Adam Johnson,2,11
6,6,Erik Haula,12,11
19,13,Gavin Bayreuther,8,11
4,1,Eric Tangradi,3,11
31,25,Christian Wolanin,15,11
8,4,Matt Read,5,11
3,6,Dillon Dube,6,11
7,3,Justin Dowling,6,11
12,25,Henrik Borgstrom,21,11
7,5,Alex Formenton,4,11
41,32,Oliver Kylington,13,11
1,0,Maxim Mamin,1,10
30,11,Sami Niku,3,10
24,15,Austin Czarnik,24,10
22,3,Jordan Schmaltz,1,10
11,7,Antti Suomela,5,10
1,0,Kole Sherwood,1,10
1,0,Joseph Blandisi,3,10
3,3,Colin Blackwell,2,10
2,3,Matt Tennyson,0,10
8,11,Michael Dal Colle,7,10
4,3,Darren Archibald,1,10
2,2,Patrick Russell,3,9
21,33,Kyle Connor,56,9
6,10,Sam Steel,7,9
13,2,Corban Knight,6,9
3,2,Daniel Carr,3,9
1,1,Nikita Scherbak,0,9
7,5,Samuel Morin,1,9
5,2,Justin Bailey,3,9
7,1,Brendan Guhle,1,9
12,9,Anders Bjork,11,9
5,6,Justin Holl,2,9
3,0,Jack Rodewald,0,8
1,2,Matt Beleskey,0,7
1,1,Nicolas Roy,3,7
5,4,Jake Chelios,2,7
0,0,Tyrell Goulbourne,1,6
3,5,Filip Zadina,5,6
1,0,Michael Bunting,0,6
3,3,Steven Fogarty,4,6
18,8,Josh Mahura,7,6
0,1,Adam Cracknell,0,6
8,2,Evan Bouchard,3,6
5,7,Tomas Hyka,9,6
1,0,Dennis Gilbert,0,6
2,3,Dillon Heatherington,0,6
4,3,Karson Kuhlman,3,6
1,0,Anton Blidh,1,6
9,5,Matt Hunwick,2,6
0,1,Riley Stillman,0,5
0,1,Sonny Milano,0,5
2,2,Jaret Anderson-Dolan,2,5
2,1,Nikita Soshnikov,0,5
0,1,Nathan Walker,0,5
4,2,Daniel Brickley,0,5
12,25,Nick Schmaltz,35,5
3,2,Kalle Kossila,0,5
2,2,Andreas Englund,0,5
7,6,Peter Cehlarik,13,5
3,5,Libor Hajek,4,5
5,1,Ryan Kuffner,2,4
0,1,Anthony Peluso,2,4
12,16,Troy Terry,14,4
1,0,Josh Teves,1,4
2,1,Eeli Tolvanen,3,4
5,5,Isac Lundestrom,3,4
5,2,Matt Puempel,0,4
1,3,Tyler Lewington,0,4
0,1,Brendan Gaunce,0,4
4,4,Mikhail Vorobyev,5,4
4,3,Wade Megan,2,4
1,4,Zack MacEwen,0,4
1,0,Logan O'Connor,2,4
