"assists","faceoffWinPctg","gameWinningGoals","gamesPlayed","goals","otGoals","penaltyMinutes","playerBirthCountry","playerBirthYear","playerDraftRoundNo","playerHeight","Player","playerPositionCode","playerShootsCatches","playerWeight","plusMinus","points","pointsPerGame","ppGoals","ppPoints","shGoals","shPoints","shiftsPerGame","shootingPctg","shots","timeOnIcePerGame","playerDrafted","Forward","LeftHand","blockedShots","giveaways","takeaways","hits","Tm","Salary","Cap.Hit"
19,0,3,71,6,0,60,"CZE",1990,NA,72,"Michal Kempny","D","L",194,24,25,0.3521,0,0,0,0,21.9718,0.054,111,1151.2112,0,0,1,135,47,21,84,"WSH",3.3,2500000
4,0,0,41,0,0,13,"RUS",1994,NA,74,"Ilya Lyubushkin","D","R",201,-9,4,0.0975,0,0,0,0,18.7317,0,27,824.3658,0,0,0,61,22,6,150,"ARI",0.925,925000
15,0.4365,0,60,3,0,43,"CAN",1994,3,76,"Jujhar Khaira","L","L",212,-12,18,0.3,0,0,1,2,17.8833,0.0468,64,754.0166,1,1,1,33,26,22,123,"EDM",0.7,675000
13,0.5386,3,71,8,1,38,"USA",1993,5,74,"Sean Kuraly","C","L",213,6,21,0.2957,0,0,0,0,18.3661,0.0597,134,826.4507,1,1,1,35,32,34,129,"BOS",1.3,1275000
16,0,0,77,4,0,63,"CZE",1990,3,72,"Radko Gudas","D","R",204,6,20,0.2597,0,0,0,0,23.1688,0.0294,136,1072.5194,1,0,0,133,59,23,255,"PHI",3.4,3350000
6,0,0,43,3,0,30,"SWE",1996,5,72,"Gustav Forsling","D","L",186,-9,9,0.2093,0,0,0,0,23.1162,0.0526,57,1025,1,0,1,38,23,15,38,"CHI",0.925,872500
22,0.5,1,65,9,0,118,"FRA",1989,NA,71,"Antoine Roussel","L","L",199,5,31,0.4769,0,0,0,0,21.5692,0.1071,84,825.5384,0,1,1,50,20,20,87,"VAN",3.8,3e+06
4,0,1,50,3,0,42,"CAN",1986,2,76,"Adam McQuaid","D","R",210,2,7,0.14,0,0,0,1,22.94,0.1071,28,946.64,1,0,0,88,19,11,122,"CBJ",2,2750000
13,0,1,74,1,0,20,"CAN",1991,1,73,"Calvin de Haan","D","L",195,1,14,0.1891,0,0,0,0,22.8918,0.0098,102,1110.6756,1,0,1,106,55,59,187,"CAR",4,4550000
9,0.3725,1,75,12,0,47,"CAN",1985,7,75,"Troy Brouwer","R","R",213,-6,21,0.28,0,0,1,1,18.4533,0.1395,86,761.3333,1,1,0,38,44,23,177,"FLA",0.85,850000
10,0.5372,3,82,7,0,76,"CAN",1993,NA,74,"Barclay Goodrow","R","L",215,4,17,0.2073,0,0,1,1,17.2073,0.0833,84,660.5365,0,1,1,68,17,35,125,"SJS",0.65,650000
19,0,0,74,4,0,34,"CAN",1985,1,77,"Braydon Coburn","D","L",223,4,23,0.3108,0,0,0,0,20.3243,0.0353,113,966.6081,1,0,1,62,22,17,96,"TBL",3.7,3700000
11,1,2,64,4,0,64,"CAN",1994,7,72,"MacKenzie Weegar","D","R",200,-3,15,0.2343,0,1,0,0,22.9843,0.0506,79,1017.9843,1,0,0,103,59,34,127,"FLA",0.9,9e+05
20,0,0,82,5,0,16,"USA",1982,NA,71,"Andy Greene","D","L",190,-9,25,0.3048,0,2,0,4,24.7195,0.048,104,1250.0243,0,0,1,208,45,40,67,"NJD",5,5e+06
18,0,1,80,7,1,38,"USA",1988,1,76,"Erik Johnson","D","R",225,8,25,0.3125,0,0,0,0,26.9625,0.0486,144,1308.875,1,0,0,143,41,31,124,"COL",6,6e+06
17,0.4842,1,66,6,0,14,"CAN",1998,1,75,"Brett Howden","C","L",195,-16,23,0.3484,0,2,0,0,20.0303,0.081,74,896.3181,1,1,1,47,37,28,64,"NYR",0.925,863333
5,0.2777,0,56,3,0,29,"USA",1990,NA,70,"J.T. Brown","R","R",166,0,8,0.1428,0,0,0,0,12.3571,0.0535,56,550.1785,0,1,0,16,9,16,99,"MIN",0.675,687500
13,0,0,71,2,0,115,"USA",1989,1,73,"Ian Cole","D","L",219,-1,15,0.2112,0,0,0,0,23.6901,0.0243,82,1185.3661,1,0,1,178,46,27,107,"COL",5,4250000
9,0.4504,1,78,3,0,19,"CAN",1989,1,73,"Riley Nash","C","R",190,-8,12,0.1538,0,0,0,0,14.8333,0.0379,79,650.3846,1,1,0,43,13,39,72,"CBJ",2.75,2750000
